,,,,," Start Date",                    ,," End Date",                    ,,,,Stock Symbol,"ACLBSLADBLADBLBADBLB86ADBLB87ADBLD83AHPCAILAKBSLAKBSLPAKJCLAKPLALBSLALICLALICLPAMFIAMFIPOAPIAVUBARUNBBCBFCBFCPOBFLPOBHBLBHBLPOBNHCBNLBNTBOKD2079BOKD86BOKLBOKLPOBPCLBSBLPOBSLBSMCBBLCBBLPOCBLCBLPOCCBLCCBLPOCEFLCEFLPOCFCLCFCLPOCFLCGHCHCLCHDCCHLCITCIZBD86CLBSLCLBSLPCMBCMBFLPCMF1CMF2CORBLCORBLPCZBILCZBILPDDBLDDBLPODHPLEBLEBLCPEBLPOEDBLEDBLPOEICEICPOENLFBBLPOFHLFMDBLFMDBLPFOWADFOWADPGBBD85GBBLGBBLPOGBD80/81GBILD86/87GBIMEGBIMEPGBLBSGBLBSPGDBLGDBLPOGFCLGFCLPOGGBSLGHLGICGILBGILBPOGIMES1GLBSLGLHGLICLGLICLPGMFBSGMFILGMFILPGRDBLGRDBLPGRUGUFLGUFLPOGVLGWFD83HAMROHAMROPHATHHATHPOHBLHBLD83HBLPOHBTHDHPCHDLHFLHGIHGIPOHIDCLHPPLHURJAICFCICFCD83ICFCPOIGIIGIPOILBSJALPAJBBD87JBBLJBBLPOJBLBJBLBPJBNLJBNLPOJFLJFLPOJLIJOSHIJSLBBJSLBBPJSMKBLKBLD86KBLPOKEFKKHCKLBSLKLBSLPKMCDBKMCDBPKNBLKNBLPOKPCLKRBLKRBLPOKSBBLKSBBLD87KSBBLPLBBLLBBLPOLBLLBLD86LBLD88LBLPOLECLEMFLFCLFCPOLGILLGILPOLICNLICNPOLLBSLLBSPOLUKMBJCMBLMBLD2085MBLD87MBLPOMDBMDBLPOMDBPOMEGAMEGAPOMENMEROMEROPOMFILMFILPOMFLD85MHNLMKJCMKLBMLBBLMLBBLPMLBLMLBLPOMLBSMLBSLMMF1MMFDBMMFDBPMNBBLMNBBLPMND84/85MPFLMPFLPOMSLBMSLBPMSMBSMSMBSPNABBCNABILNABILPNADEPNADEPPNAGRONBBNBBD2085NBBPONBBUNBF2NBF3NBLNBLD82NBLD85NBLD87NCCBNCCBPONCCD86NEFNESDONFDNFSNFSPONGPLNHDLNHPCNIBNIBD2082NIBD84NIBLPFNIBPONIBSF1NIBSF2NICANICAD 85/86NICAD8182NICAD8283NICAPNICBFNICD83/84NICD88NICGFNICLNICLBSLNICLPONICSFNIDCNIDCPONIFRANILNILPONKUNLBBLNLBBLPNLGNLGPONLICNLICLNLICLPNLICPNLONMBNMB50NMBD2085NMBD87/88NMBEB92/93NMBHF1NMBMFNMBMFPNMBPONMFBSNMFBSPNRICNRNNSLBNSLBPNSMNSMPONTCNTLNUBLNUBLPONVGNWCNYADIODBLODBLPOOHLPBD85PBLD84PBLD86PBLD87PCBLPCBLPPDBLPOPFLPFLPOPICPICLPICLPOPICPOPLIPLICPLICPOPMHPLPPCLPRFLPOPRINPRINPOPROFLPROFLPPRVUPRVUPOPSDBLPPSFRADHIRBBD83RBCLRBCLPORHPCRHPLRJMRLFLRLFLPORLIRMBFPORMDCRMDCPORMF1RRHPRSDCRSDCPRULBRURUSABSLSADBLSADBLPSAEFSAHASSAMAJSAND2085SANIMASAPDBLSAPDBLPSBBLJSBBLJPSBBLPOSBCFSBD87SBISBIBD86SBIPOSBLSBLD2082SBLD83SBLD84SBLPOSBPPSCBSCBPOSDBD87SDESISDLBSLSEFSEOSSFCSFCLSFCLPSFCPOSFFILSFFILPSFMFSGISHBLSHBLPOSHELSHINESHINEPSHIVMSHLSHPCSICSICLSICLPOSICPOSIFCSIFCPOSIGS2SILSILPOSINDUSINDUPSJCLSKBBLSKBBLPSLBBLSLBBLPSLBSSLBSLSLBSPSLCFSLISLICLSLICLPSMATASMATAPSMBSMBPOSMFBSSMFDBSMFDBPSODBLPSPARSSPCSPDLSRBLSRBLD83SRBLPOSRD80SRSSSHLSTCSWBBLSWBBLPSYFLSYFLPOTMDBLTMDBLPTPCTRHUFLUFLPOUICUICPOULIUMHLUMRHUNHPLUNLUPCLUPPERUSLBUSLBPVLBSVLBSPOWNLBWNLBPWOMIWOMIPOYHL  |",                ,"Total Rows",                    ,20,50,200,300,500," |",                ,,,,,
,S.N.,Stock Symbol,Closing Price Average,Total Traded Amount,Total Traded Shares,Weighted Average,Closing Price,Closing Date,
,1,ACLBSL,"1,304.31","356,246,781","255,750","1,392.95",932.00,2022-04-28,
,2,ADBL,401.77,"1,154,244,830","2,795,305",412.92,369.00,2022-04-28,
,3,ADBLD83,"1,004.02","19,460,250","19,336","1,006.43",990.00,2022-04-28,
,4,AHPC,494.56,"10,305,674,161","19,627,191",525.07,417.20,2022-04-28,
,5,AIL,698.78,"408,902,723","563,175",726.07,638.00,2022-04-28,
,6,AKJCL,293.61,"2,223,839,978","7,211,745",308.36,239.00,2022-04-28,
,7,AKPL,512.79,"4,689,686,790","8,634,560",543.13,419.10,2022-04-28,
,8,ALBSL,"1,478.54","291,742,056","188,393","1,548.58","1,342.00",2022-04-28,
,9,ALICL,974.74,"2,043,061,603","1,875,654","1,089.25",795.00,2022-04-28,
,10,ALICLP,679.00,"70,537,984","140,800",500.98,679.00,2022-04-28,
,11,API,459.87,"10,859,895,621","21,808,118",497.97,300.00,2022-04-28,
,12,BARUN,495.54,"1,146,425,781","2,182,656",525.24,398.00,2022-04-28,
,13,BBC,"4,684.28","163,138,951","33,742","4,834.89","4,077.00",2022-04-28,
,14,BFC,463.96,"1,160,996,085","2,350,790",493.87,410.00,2022-04-28,
,15,BFCPO,272.50,"10,846,430","39,709",273.15,270.00,2022-04-28,
,16,BNHC,593.21,"405,724,856","633,366",640.59,498.00,2022-04-28,
,17,BNT,"14,300.47","512,895,133","35,045","14,635.33","14,225.00",2022-04-28,
,18,BOKD86,"1,000.00","65,000",65,"1,000.00","1,000.00",2022-04-28,
,19,BOKL,274.80,"748,408,952","2,669,861",280.32,243.00,2022-04-28,
,20,BOKLPO,141.00,"3,715,632","26,352",141.00,141.00,2022-04-28,
,Page 1/4 1234,
